Time,X,Y,Z,Vx,Vy,Vz,dVel_X,dVel_Y,dVel_Z,Alt(m)
0.1,-2898207.63,4027634.23,3994019.28,-0.51,0.71,0.71,-5.13,7.12386,7.13215,40.17
0.2,-2898207.76,4027634.41,3994019.45,-1.03,1.43,1.43,-5.13,7.13031,7.15602,40.45
0.3,-2898207.94,4027634.66,3994019.7,-1.54,2.14,2.14,-5.15,7.15218,7.15649,40.85
0.4,-2898208.17,4027634.98,3994020.03,-2.06,2.86,2.86,-5.16,7.17512,7.15524,41.36
0.5,-2898208.46,4027635.37,3994020.42,-2.57,3.58,3.58,-5.17,7.19137,7.16411,41.98
0.6,-2898208.79,4027635.84,3994020.89,-3.09,4.3,4.29,-5.18,7.20338,7.17944,42.72
0.7,-2898209.18,4027636.38,3994021.42,-3.61,5.02,5.01,-5.19,7.21475,7.1958,43.58
0.8,-2898209.62,4027636.99,3994022.03,-4.13,5.74,5.74,-5.2,7.22681,7.21113,44.54
0.9,-2898210.11,4027637.67,3994022.71,-4.65,6.47,6.46,-5.21,7.23952,7.22549,45.63
1,-2898210.65,4027638.43,3994023.47,-5.17,7.19,7.18,-5.22,7.25259,7.23932,46.83
1.1,-2898211.25,4027639.25,3994024.3,-5.7,7.92,7.91,-5.23,7.26583,7.2529,48.14
1.2,-2898211.9,4027640.15,3994025.2,-6.22,8.65,8.63,-5.24,7.27914,7.26639,49.57
1.3,-2898212.6,4027641.13,3994026.17,-6.75,9.37,9.36,-5.25,7.29249,7.27984,51.11
1.4,-2898213.35,4027642.18,3994027.21,-7.27,10.11,10.09,-5.26,7.30585,7.29327,52.77
1.5,-2898214.16,4027643.3,3994028.33,-7.8,10.84,10.82,-5.27,7.31923,7.30669,54.55
1.6,-2898215.02,4027644.49,3994029.52,-8.33,11.57,11.55,-5.28,7.33262,7.3201,56.44
1.7,-2898215.93,4027645.76,3994030.79,-8.85,12.31,12.29,-5.29,7.34602,7.33351,58.45
1.8,-2898216.89,4027647.1,3994032.13,-9.38,13.04,13.02,-5.3,7.35942,7.34692,60.58
1.9,-2898217.91,4027648.51,3994033.54,-9.91,13.78,13.76,-5.31,7.37283,7.36033,62.82
2,-2898218.98,4027650,3994035.03,-10.45,14.52,14.49,-5.31,7.38624,7.37374,65.18
2.1,-2898220.11,4027651.56,3994036.59,-10.98,15.26,15.23,-5.32,7.39966,7.38715,67.66
2.2,-2898221.28,4027653.2,3994038.22,-11.51,16,15.97,-5.33,7.41308,7.40056,70.26
2.3,-2898222.52,4027654.91,3994039.93,-12.05,16.74,16.72,-5.34,7.4265,7.41397,72.97
2.4,-2898223.8,4027656.7,3994041.71,-12.58,17.48,17.46,-5.35,7.43993,7.42739,75.8
2.5,-2898225.14,4027658.56,3994043.57,-13.12,18.23,18.2,-5.36,7.45335,7.4408,78.75
2.6,-2898226.53,4027660.49,3994045.5,-13.65,18.98,18.95,-5.37,7.46678,7.45422,81.82
2.7,-2898227.98,4027662.5,3994047.51,-14.19,19.72,19.69,-5.38,7.48022,7.46763,85.01
2.8,-2898229.48,4027664.59,3994049.59,-14.73,20.47,20.44,-5.39,7.49365,7.48105,88.31
2.9,-2898231.03,4027666.75,3994051.75,-15.27,21.22,21.19,-5.4,7.50708,7.49446,91.74
3,-2898232.64,4027668.98,3994053.98,-15.81,21.98,21.94,-5.41,7.52052,7.50788,95.28
3.1,-2898234.3,4027671.29,3994056.29,-16.36,22.73,22.69,-5.42,7.53395,7.52129,98.95
3.2,-2898236.02,4027673.68,3994058.67,-16.9,23.49,23.45,-5.43,7.54738,7.53471,102.73
3.3,-2898237.79,4027676.14,3994061.13,-17.44,24.24,24.2,-5.44,7.56082,7.54812,106.63
3.4,-2898239.62,4027678.68,3994063.66,-17.99,25,24.96,-5.45,7.57425,7.56154,110.66
3.5,-2898241.5,4027681.29,3994066.27,-18.53,25.76,25.72,-5.46,7.58768,7.57495,114.8
3.6,-2898243.43,4027683.98,3994068.96,-19.08,26.52,26.48,-5.47,7.60112,7.58836,119.07
3.7,-2898245.42,4027686.75,3994071.72,-19.63,27.28,27.24,-5.48,7.61455,7.60177,123.46
3.8,-2898247.47,4027689.59,3994074.55,-20.18,28.04,28,-5.49,7.62798,7.61518,127.96
3.9,-2898249.57,4027692.51,3994077.47,-20.73,28.81,28.76,-5.5,7.6414,7.62859,132.59
4,-2898251.72,4027695.51,3994080.46,-21.28,29.57,29.52,-5.51,7.65483,7.64199,137.34
4.1,-2898253.94,4027698.58,3994083.53,-21.83,30.34,30.29,-5.52,7.66825,7.65539,142.21
4.2,-2898256.2,4027701.73,3994086.67,-22.38,31.11,31.06,-5.53,7.68167,7.66879,147.21
4.3,-2898258.52,4027704.95,3994089.89,-22.94,31.88,31.82,-5.54,7.69509,7.68219,152.32
4.4,-2898260.9,4027708.26,3994093.19,-23.49,32.65,32.59,-5.55,7.7085,7.69558,157.56
4.5,-2898263.33,4027711.64,3994096.56,-24.05,33.42,33.37,-5.56,7.72191,7.70897,162.92
4.6,-2898265.82,4027715.09,3994100.02,-24.6,34.19,34.14,-5.57,7.73532,7.72235,168.4
4.7,-2898268.36,4027718.63,3994103.55,-25.16,34.97,34.91,-5.58,7.74872,7.73573,174.01
4.8,-2898270.96,4027722.24,3994107.15,-25.72,35.74,35.69,-5.59,7.76212,7.74911,179.74
4.9,-2898273.62,4027725.93,3994110.84,-26.28,36.52,36.46,-5.59,7.77551,7.76248,185.59
5,-2898276.33,4027729.7,3994114.6,-26.84,37.3,37.24,-5.6,7.7889,7.77585,191.57
5.1,-2898279.1,4027733.55,3994118.44,-27.4,38.08,38.02,-5.61,7.80228,7.78921,197.67
5.2,-2898281.92,4027737.48,3994122.36,-27.96,38.86,38.8,-5.62,7.81566,7.80257,203.89
5.3,-2898284.81,4027741.48,3994126.36,-28.53,39.64,39.58,-5.63,7.82903,7.81592,210.24
5.4,-2898287.74,4027745.56,3994130.43,-29.09,40.43,40.36,-5.64,7.8424,7.82926,216.72
5.5,-2898290.74,4027749.72,3994134.59,-29.66,41.21,41.15,-5.65,7.85576,7.8426,223.31
5.6,-2898293.79,4027753.96,3994138.82,-30.22,42,41.93,-5.66,7.86912,7.85593,230.04
5.7,-2898296.89,4027758.28,3994143.13,-30.79,42.79,42.72,-5.67,7.88246,7.86926,236.88
5.8,-2898300.06,4027762.68,3994147.52,-31.36,43.58,43.51,-5.68,7.8958,7.88258,243.86
5.9,-2898303.28,4027767.15,3994151.99,-31.93,44.37,44.3,-5.69,7.90914,7.89589,250.96
6,-2898306.56,4027771.71,3994156.54,-32.5,45.16,45.09,-5.7,7.92246,7.90919,258.18
6.1,-2898309.92,4027776.32,3994161.17,-33.27,45.81,45.88,-7.7,6.4991,7.91984,265.53
6.2,-2898313.37,4027781,3994165.88,-34.05,46.45,46.67,-7.84,6.41232,7.9275,273.01
6.3,-2898316.89,4027785.74,3994170.66,-34.84,47.09,47.47,-7.92,6.36786,7.93495,280.61
6.4,-2898320.5,4027790.55,3994175.53,-35.64,47.72,48.26,-7.99,6.3244,7.94218,288.34
6.5,-2898324.18,4027795.41,3994180.47,-36.45,48.35,49.06,-8.07,6.28066,7.9492,296.19
6.6,-2898327.95,4027800.34,3994185.5,-37.26,48.97,49.85,-8.14,6.23659,7.956,304.17
6.7,-2898331.8,4027805.33,3994190.6,-38.08,49.59,50.65,-8.22,6.1922,7.96259,312.28
6.8,-2898335.73,4027810.38,3994195.79,-38.91,50.21,51.45,-8.29,6.14748,7.96895,320.51
6.9,-2898339.75,4027815.5,3994201.05,-39.75,50.82,52.24,-8.37,6.10242,7.97508,328.88
7,-2898343.85,4027820.67,3994206.39,-40.6,51.42,53.04,-8.44,6.05703,7.981,337.36
7.1,-2898348.04,4027825.9,3994211.82,-41.45,52.03,53.84,-8.52,6.01132,7.98669,345.98
7.2,-2898352.31,4027831.19,3994217.32,-42.31,52.62,54.64,-8.6,5.96527,7.99215,354.72
7.3,-2898356.67,4027836.54,3994222.91,-43.17,53.21,55.44,-8.67,5.91888,7.99739,363.59
7.4,-2898361.12,4027841.95,3994228.57,-44.05,53.8,56.24,-8.75,5.87217,8.0024,372.59
7.5,-2898365.66,4027847.42,3994234.31,-44.93,54.38,57.04,-8.82,5.82512,8.00717,381.71
7.6,-2898370.28,4027852.95,3994240.14,-45.82,54.96,57.84,-8.9,5.77773,8.01172,390.96
7.7,-2898375,4027858.53,3994246.04,-46.72,55.53,58.64,-8.97,5.73,8.01604,400.34
7.8,-2898379.81,4027864.17,3994252.03,-47.62,56.1,59.44,-9.05,5.68194,8.02012,409.84
7.9,-2898384.71,4027869.86,3994258.09,-48.54,56.67,60.25,-9.12,5.63355,8.02396,419.47
8,-2898389.7,4027875.61,3994264.24,-49.46,57.22,61.05,-9.2,5.58481,8.02757,429.24
8.1,-2898394.78,4027881.42,3994270.46,-50.38,57.78,61.85,-9.27,5.53574,8.03095,439.12
8.2,-2898399.96,4027887.28,3994276.77,-51.32,58.33,62.66,-9.35,5.48632,8.03408,449.14
8.3,-2898405.23,4027893.19,3994283.15,-52.26,58.87,63.46,-9.43,5.43657,8.03698,459.28
8.4,-2898410.6,4027899.16,3994289.62,-53.21,59.41,64.26,-9.5,5.38647,8.03964,469.55
8.5,-2898416.07,4027905.18,3994296.17,-54.17,59.94,65.07,-9.58,5.33603,8.04205,479.95
8.6,-2898421.63,4027911.25,3994302.79,-55.13,60.47,65.87,-9.65,5.28526,8.04422,490.48
8.7,-2898427.29,4027917.38,3994309.5,-56.11,60.99,66.68,-9.73,5.23413,8.04614,501.13
8.8,-2898433.05,4027923.56,3994316.29,-57.09,61.51,67.48,-9.8,5.18267,8.04782,511.91
8.9,-2898438.9,4027929.78,3994323.16,-58.07,62.03,68.29,-9.88,5.13086,8.04926,522.82
9,-2898444.86,4027936.06,3994330.11,-59.07,62.53,69.09,-9.95,5.0787,8.05044,533.86
9.1,-2898450.92,4027942.39,3994337.14,-60.07,63.04,69.9,-10.03,5.0262,8.05138,545.03
9.2,-2898457.07,4027948.77,3994344.25,-61.08,63.53,70.7,-10.1,4.97336,8.05206,556.32
9.3,-2898463.34,4027955.2,3994351.44,-62.1,64.03,71.51,-10.18,4.92017,8.05249,567.74
9.4,-2898469.7,4027961.67,3994358.71,-63.12,64.51,72.31,-10.25,4.86663,8.05267,579.29
9.5,-2898476.17,4027968.2,3994366.06,-64.16,64.99,73.12,-10.33,4.81274,8.0526,590.97
9.6,-2898482.74,4027974.77,3994373.5,-65.2,65.47,73.92,-10.4,4.75851,8.05227,602.78
9.7,-2898489.41,4027981.38,3994381.01,-66.24,65.94,74.73,-10.47,4.70393,8.05168,614.71
9.8,-2898496.2,4027988.05,3994388.6,-67.3,66.4,75.53,-10.55,4.64899,8.05084,626.77
9.9,-2898503.09,4027994.76,3994396.28,-68.36,66.86,76.34,-10.62,4.59371,8.04973,638.96
10,-2898510.08,4028001.51,3994404.03,-69.43,67.32,77.14,-10.7,4.53808,8.04837,651.28
10.1,-2898517.19,4028008.31,3994411.87,-70.51,67.77,77.95,-10.77,4.4821,8.04674,663.72
10.2,-2898524.4,4028015.15,3994419.78,-71.59,68.21,78.75,-10.85,4.42577,8.04485,676.29
10.3,-2898531.72,4028022.04,3994427.78,-72.68,68.65,79.56,-10.92,4.36908,8.0427,688.99
10.4,-2898539.16,4028028.97,3994435.85,-73.78,69.08,80.36,-10.99,4.31204,8.04028,701.82
10.5,-2898546.7,4028035.94,3994444.01,-74.89,69.5,81.16,-11.07,4.25466,8.03759,714.77
10.6,-2898554.36,4028042.96,3994452.25,-76.01,69.92,81.97,-11.14,4.19691,8.03464,727.86
10.7,-2898562.13,4028050.01,3994460.57,-77.13,70.34,82.77,-11.22,4.13882,8.03141,741.07
10.8,-2898570.01,4028057.1,3994468.96,-78.26,70.74,83.57,-11.29,4.08037,8.02792,754.41
10.9,-2898578.01,4028064.24,3994477.44,-79.39,71.15,84.38,-11.36,4.02157,8.02416,767.87
11,-2898586.12,4028071.41,3994486,-80.54,71.54,85.18,-11.44,3.96241,8.02012,781.46
11.1,-2898594.34,4028078.63,3994494.64,-81.69,71.93,85.98,-11.51,3.9029,8.01581,795.18
11.2,-2898602.68,4028085.88,3994503.35,-82.85,72.32,86.78,-11.59,3.84303,8.01122,809.03
11.3,-2898611.14,4028093.17,3994512.15,-84.01,72.7,87.58,-11.66,3.78281,8.00636,823.01
11.4,-2898619.72,4028100.49,3994521.03,-85.19,73.07,88.38,-11.73,3.72223,8.00122,837.11
11.5,-2898628.42,4028107.85,3994529.99,-86.37,73.43,89.18,-11.81,3.6613,7.9958,851.34
11.6,-2898637.23,4028115.25,3994539.03,-87.55,73.79,89.98,-11.88,3.60001,7.9901,865.69
11.7,-2898646.17,4028122.68,3994548.14,-88.75,74.15,90.78,-11.95,3.53836,7.98411,880.17
11.8,-2898655.22,4028130.15,3994557.34,-89.95,74.5,91.58,-12.02,3.47635,7.97785,894.78
11.9,-2898664.4,4028137.65,3994566.62,-91.16,74.84,92.37,-12.1,3.41399,7.9713,909.52
12,-2898673.7,4028145.18,3994575.98,-92.38,75.17,93.17,-12.17,3.35127,7.96447,924.38
12.1,-2898683.12,4028152.75,3994585.41,-93.6,75.5,93.97,-12.24,3.2882,7.95736,939.37
12.2,-2898692.66,4028160.35,3994594.93,-94.83,75.82,94.76,-12.31,3.22476,7.94995,954.48
12.3,-2898702.33,4028167.98,3994604.52,-96.07,76.14,95.55,-12.39,3.16097,7.94226,969.72
12.4,-2898712.13,4028175.64,3994614.2,-97.32,76.45,96.35,-12.46,3.09682,7.93428,985.09
12.5,-2898722.05,4028183.33,3994623.95,-98.57,76.75,97.14,-12.53,3.03231,7.926,1000.58
12.6,-2898732.09,4028191.05,3994633.78,-99.83,77.05,97.93,-12.6,2.96744,7.91744,1016.2
12.7,-2898742.27,4028198.8,3994643.7,-101.1,77.34,98.72,-12.68,2.90221,7.90858,1031.94
12.8,-2898752.57,4028206.57,3994653.69,-102.37,77.62,99.51,-12.75,2.83663,7.89943,1047.81
12.9,-2898763,4028214.38,3994663.76,-103.66,77.9,100.3,-12.82,2.77068,7.88998,1063.8
13,-2898773.56,4028222.21,3994673.9,-104.94,78.17,101.09,-12.89,2.70438,7.88024,1079.92
13.1,-2898784.24,4028230.06,3994684.13,-106.24,78.43,101.88,-12.96,2.63772,7.87019,1096.17
13.2,-2898795.06,4028237.95,3994694.44,-107.54,78.69,102.66,-13.03,2.5707,7.85985,1112.54
13.3,-2898806.02,4028245.85,3994704.82,-108.85,78.94,103.45,-13.1,2.50331,7.84921,1129.03
13.4,-2898817.1,4028253.78,3994715.28,-110.17,79.18,104.23,-13.18,2.43557,7.83827,1145.65
13.5,-2898828.31,4028261.74,3994725.82,-111.5,79.42,105.01,-13.25,2.36747,7.82703,1162.39
13.6,-2898839.66,4028269.71,3994736.44,-112.83,79.65,105.8,-13.32,2.29901,7.81548,1179.25
13.7,-2898851.15,4028277.71,3994747.14,-114.17,79.87,106.58,-13.39,2.23019,7.80363,1196.24
13.8,-2898862.77,4028285.73,3994757.91,-115.51,80.09,107.36,-13.46,2.16102,7.79148,1213.36
13.9,-2898874.52,4028293.77,3994768.77,-116.87,80.3,108.13,-13.53,2.09148,7.77901,1230.6
14,-2898886.41,4028301.83,3994779.7,-118.23,80.5,108.91,-13.6,2.02158,7.76624,1247.96
14.1,-2898898.44,4028309.91,3994790.7,-119.59,80.7,109.69,-13.67,1.95132,7.75316,1265.44
14.2,-2898910.6,4028318.01,3994801.79,-120.97,80.89,110.46,-13.74,1.88071,7.73977,1283.05
14.3,-2898922.91,4028326.13,3994812.95,-122.35,81.07,111.23,-13.81,1.80973,7.72607,1300.77
14.4,-2898935.35,4028334.26,3994824.19,-123.73,81.24,112,-13.88,1.7384,7.71206,1318.63
14.5,-2898947.93,4028342.41,3994835.5,-125.13,81.41,112.77,-13.95,1.66671,7.69774,1336.6
14.6,-2898960.66,4028350.57,3994846.9,-126.53,81.57,113.54,-14.02,1.59466,7.6831,1354.69
14.7,-2898973.52,4028358.75,3994858.37,-127.94,81.72,114.31,-14.08,1.52225,7.66815,1372.91
14.8,-2898986.53,4028366.95,3994869.91,-129.35,81.86,115.07,-14.15,1.44948,7.65287,1391.25
14.9,-2898999.68,4028375.15,3994881.53,-130.78,82,115.84,-14.22,1.37636,7.63729,1409.71
15,-2899012.97,4028383.37,3994893.23,-132.21,82.13,116.6,-14.29,1.30287,7.62138,1428.29
15.1,-2899026.4,4028391.6,3994905.01,-133.64,82.25,117.36,-14.36,1.22903,7.60516,1446.99
15.2,-2899039.98,4028399.85,3994916.86,-135.08,82.37,118.12,-14.43,1.15483,7.58861,1465.81
15.3,-2899053.71,4028408.1,3994928.78,-136.53,82.48,118.88,-14.49,1.08028,7.57174,1484.75
15.4,-2899067.58,4028416.36,3994940.78,-137.99,82.58,119.63,-14.56,1.00536,7.55456,1503.81
15.5,-2899081.6,4028424.63,3994952.86,-139.45,82.67,120.39,-14.63,0.9301,7.53704,1523
15.6,-2899095.77,4028432.91,3994965.01,-140.92,82.76,121.14,-14.7,0.85447,7.51921,1542.3
15.7,-2899110.08,4028441.2,3994977.24,-142.4,82.83,121.89,-14.76,0.77849,7.50105,1561.72
15.8,-2899124.54,4028449.5,3994989.54,-143.88,82.9,122.64,-14.83,0.70215,7.48256,1581.25
15.9,-2899139.15,4028457.8,3995001.91,-145.37,82.97,123.38,-14.9,0.62546,7.46374,1600.91
16,-2899153.91,4028466.1,3995014.36,-146.87,83.02,124.13,-14.96,0.54841,7.4446,1620.68
16.1,-2899168.83,4028474.41,3995026.89,-148.37,83.07,124.87,-15.03,0.47101,7.42513,1640.58
16.2,-2899183.89,4028482.72,3995039.48,-149.88,83.11,125.61,-15.1,0.39326,7.40532,1660.59
16.3,-2899199.11,4028491.04,3995052.16,-151.4,83.14,126.35,-15.16,0.31515,7.38519,1680.71
16.4,-2899214.47,4028499.36,3995064.9,-152.92,83.16,127.08,-15.23,0.23668,7.36472,1700.96
16.5,-2899230,4028507.67,3995077.72,-154.45,83.18,127.82,-15.29,0.15787,7.34393,1721.32
16.6,-2899245.67,4028515.99,3995090.61,-155.99,83.19,128.55,-15.36,0.0787,7.32279,1741.79
16.7,-2899261.5,4028524.31,3995103.58,-157.53,83.19,129.28,-15.42,-0.00082,7.30133,1762.39
16.8,-2899277.49,4028532.63,3995116.61,-159.08,83.18,130.01,-15.49,-0.08069,7.27953,1783.09
16.9,-2899293.63,4028540.94,3995129.72,-160.63,83.16,130.73,-15.55,-0.16091,7.25739,1803.92
17,-2899309.92,4028549.26,3995142.91,-162.19,83.14,131.46,-15.62,-0.24148,7.23491,1824.85
17.1,-2899326.38,4028557.57,3995156.16,-163.76,83.11,132.18,-15.68,-0.3224,7.2121,1845.91
17.2,-2899342.99,4028565.87,3995169.49,-165.34,83.07,132.9,-15.75,-0.40367,7.18894,1867.07
17.3,-2899359.76,4028574.17,3995182.88,-166.92,83.02,133.61,-15.81,-0.48529,7.16545,1888.35
17.4,-2899376.69,4028582.46,3995196.35,-168.5,82.96,134.33,-15.87,-0.56725,7.14162,1909.74
17.5,-2899393.78,4028590.75,3995209.89,-170.1,82.9,135.04,-15.94,-0.64956,7.11744,1931.25
17.6,-2899411.03,4028599.03,3995223.5,-171.7,82.82,135.75,-16,-0.73222,7.09293,1952.87
17.7,-2899428.44,4028607.3,3995237.18,-173.3,82.74,136.46,-16.06,-0.81523,7.06807,1974.6
17.8,-2899446.01,4028615.56,3995250.93,-174.92,82.65,137.16,-16.12,-0.89858,7.04286,1996.44
17.9,-2899463.75,4028623.81,3995264.75,-176.54,82.55,137.86,-16.19,-0.98227,7.01731,2018.39
18,-2899481.65,4028632.05,3995278.65,-178.16,82.45,138.56,-16.25,-1.06631,6.99142,2040.46
18.1,-2899499.71,4028640.28,3995292.61,-179.79,82.33,139.26,-16.31,-1.15069,6.96518,2062.63
18.2,-2899517.93,4028648.49,3995306.64,-181.43,82.21,139.95,-16.37,-1.23542,6.93859,2084.92
18.3,-2899536.32,4028656.69,3995320.74,-183.07,82.08,140.64,-16.43,-1.32048,6.91165,2107.31
18.4,-2899554.88,4028664.88,3995334.9,-184.72,81.94,141.33,-16.49,-1.40589,6.88437,2129.81
18.5,-2899573.6,4028673.05,3995349.14,-186.38,81.79,142.02,-16.55,-1.49163,6.85674,2152.43
18.6,-2899592.48,4028681.2,3995363.44,-188.04,81.63,142.7,-16.61,-1.57772,6.82876,2175.15
18.7,-2899611.54,4028689.34,3995377.82,-189.71,81.46,143.38,-16.67,-1.66414,6.80042,2197.97
18.8,-2899630.76,4028697.46,3995392.26,-191.38,81.29,144.06,-16.73,-1.7509,6.77174,2220.91
18.9,-2899650.15,4028705.56,3995406.76,-193.06,81.1,144.73,-16.79,-1.838,6.7427,2243.95
19,-2899669.71,4028713.65,3995421.34,-194.74,80.91,145.4,-16.85,-1.92543,6.71331,2267.1
19.1,-2899689.43,4028721.71,3995435.98,-196.43,80.71,146.07,-16.91,-2.0132,6.68357,2290.35
19.2,-2899709.33,4028729.75,3995450.68,-198.13,80.5,146.74,-16.97,-2.1013,6.65347,2313.71
19.3,-2899729.4,4028737.76,3995465.46,-199.83,80.28,147.4,-17.03,-2.18973,6.62302,2337.18
19.4,-2899749.64,4028745.76,3995480.3,-201.54,80.05,148.06,-17.09,-2.2785,6.59221,2360.75
19.5,-2899770.05,4028753.73,3995495.2,-203.26,79.82,148.71,-17.14,-2.3676,6.56105,2384.42
19.6,-2899790.64,4028761.67,3995510.17,-204.98,79.57,149.37,-17.2,-2.45702,6.52953,2408.2
19.7,-2899811.39,4028769.59,3995525.2,-206.7,79.32,150.02,-17.26,-2.54678,6.49765,2432.08
19.8,-2899832.32,4028777.48,3995540.3,-208.44,79.05,150.66,-17.32,-2.63686,6.46542,2456.06
19.9,-2899853.43,4028785.35,3995555.46,-210.17,78.78,151.31,-17.37,-2.72728,6.43282,2480.14
20,-2899874.71,4028793.18,3995570.69,-211.92,78.5,151.95,-17.43,-2.81801,6.39987,2504.33
20.1,-2899896.12,4028801.05,3995586,-213.42,78.6,152.73,-15,1.05412,7.7978,2528.65
20.2,-2899917.69,4028808.92,3995601.39,-214.92,78.7,153.51,-15.03,1.02538,7.79425,2553.09
20.3,-2899939.41,4028816.81,3995616.86,-216.42,78.8,154.29,-15.06,0.99665,7.79066,2577.66
20.4,-2899961.28,4028824.7,3995632.41,-217.93,78.9,155.06,-15.09,0.96795,7.78702,2602.35
20.5,-2899983.3,4028832.61,3995648.03,-219.45,79,155.84,-15.13,0.93928,7.78334,2627.17
20.6,-2900005.47,4028840.52,3995663.73,-220.96,79.09,156.62,-15.16,0.91062,7.77961,2652.1
20.7,-2900027.79,4028848.44,3995679.51,-222.48,79.17,157.4,-15.19,0.88199,7.77584,2677.17
20.8,-2900050.27,4028856.37,3995695.37,-224,79.26,158.18,-15.22,0.85338,7.77202,2702.35
20.9,-2900072.9,4028864.31,3995711.3,-225.53,79.34,158.95,-15.25,0.8248,7.76815,2727.66
21,-2900095.68,4028872.26,3995727.31,-227.06,79.42,159.73,-15.29,0.79624,7.76425,2753.09
21.1,-2900118.62,4028880.21,3995743.4,-228.59,79.5,160.5,-15.32,0.7677,7.7603,2778.65
21.2,-2900141.71,4028888.17,3995759.57,-230.12,79.57,161.28,-15.35,0.73919,7.7563,2804.32
21.3,-2900164.95,4028896.14,3995775.81,-231.66,79.64,162.06,-15.38,0.7107,7.75227,2830.13
21.4,-2900188.35,4028904.11,3995792.13,-233.2,79.71,162.83,-15.41,0.68223,7.74819,2856.05
21.5,-2900211.9,4028912.1,3995808.53,-234.75,79.78,163.6,-15.44,0.65379,7.74408,2882.1
21.6,-2900235.6,4028920.08,3995825.01,-236.3,79.84,164.38,-15.47,0.62538,7.73992,2908.27
21.7,-2900259.47,4028928.08,3995841.56,-237.85,79.9,165.15,-15.5,0.59699,7.73572,2934.56
21.8,-2900283.48,4028936.07,3995858.19,-239.4,79.96,165.93,-15.53,0.56863,7.73149,2960.98
21.9,-2900307.66,4028944.08,3995874.9,-240.96,80.01,166.7,-15.57,0.54029,7.72721,2987.52
22,-2900331.99,4028952.09,3995891.69,-242.52,80.06,167.47,-15.6,0.51198,7.7229,3014.18
22.1,-2900356.47,4028960.1,3995908.55,-244.08,80.11,168.24,-15.63,0.48369,7.71855,3040.96
22.2,-2900381.12,4028968.12,3995925.49,-245.64,80.16,169.01,-15.66,0.45544,7.71416,3067.87
22.3,-2900405.92,4028976.14,3995942.51,-247.21,80.2,169.78,-15.69,0.4272,7.70974,3094.9
22.4,-2900430.87,4028984.17,3995959.6,-248.78,80.24,170.56,-15.72,0.399,7.70528,3122.05
22.5,-2900455.99,4028992.19,3995976.77,-250.36,80.28,171.33,-15.75,0.37082,7.70078,3149.32
22.6,-2900481.26,4029000.23,3995994.02,-251.94,80.31,172.09,-15.78,0.34268,7.69625,3176.72
22.7,-2900506.69,4029008.26,3996011.35,-253.52,80.34,172.86,-15.81,0.31456,7.69169,3204.23
22.8,-2900532.28,4029016.3,3996028.75,-255.1,80.37,173.63,-15.84,0.28646,7.68709,3231.87
22.9,-2900558.03,4029024.34,3996046.23,-256.69,80.4,174.4,-15.87,0.2584,7.68247,3259.64
23,-2900583.93,4029032.39,3996063.78,-258.28,80.42,175.17,-15.89,0.23036,7.67781,3287.52
23.1,-2900610,4029040.43,3996081.41,-259.87,80.44,175.94,-15.92,0.20236,7.67311,3315.53
23.2,-2900636.23,4029048.48,3996099.12,-261.46,80.46,176.7,-15.95,0.17438,7.66839,3343.65
23.3,-2900662.61,4029056.52,3996116.91,-263.06,80.47,177.47,-15.98,0.14644,7.66364,3371.9
23.4,-2900689.16,4029064.57,3996134.77,-264.66,80.48,178.24,-16.01,0.11852,7.65886,3400.27
23.5,-2900715.87,4029072.62,3996152.71,-266.27,80.49,179,-16.04,0.09063,7.65405,3428.77
23.6,-2900742.73,4029080.67,3996170.72,-267.87,80.5,179.77,-16.07,0.06277,7.64921,3457.38
23.7,-2900769.76,4029088.72,3996188.81,-269.48,80.5,180.53,-16.1,0.03495,7.64434,3486.12
23.8,-2900796.95,4029096.77,3996206.98,-271.1,80.5,181.29,-16.13,0.00715,7.63945,3514.97
23.9,-2900824.31,4029104.82,3996225.22,-272.71,80.5,182.06,-16.15,-0.02061,7.63453,3543.95
24,-2900851.82,4029112.87,3996243.54,-274.33,80.5,182.82,-16.18,-0.04834,7.62959,3573.05
24.1,-2900879.5,4029120.92,3996261.94,-275.95,80.49,183.58,-16.21,-0.07605,7.62462,3602.27
24.2,-2900907.33,4029128.97,3996280.41,-277.58,80.48,184.34,-16.24,-0.10281,7.62168,3631.61
24.3,-2900935.34,4029137.01,3996298.96,-279.2,80.46,185.11,-16.28,-0.12846,7.62124,3661.08
24.4,-2900963.5,4029145.06,3996317.59,-280.83,80.45,185.87,-16.31,-0.15406,7.62084,3690.66
24.5,-2900991.83,4029153.1,3996336.29,-282.47,80.43,186.63,-16.35,-0.17962,7.62049,3720.36
24.6,-2901020.32,4029161.14,3996355.07,-284.11,80.41,187.39,-16.38,-0.20513,7.62018,3750.19
24.7,-2901048.98,4029169.18,3996373.92,-285.75,80.39,188.16,-16.42,-0.2306,7.61992,3780.14
24.8,-2901077.8,4029177.21,3996392.85,-287.39,80.36,188.92,-16.45,-0.25602,7.61971,3810.21
24.9,-2901106.79,4029185.25,3996411.86,-289.04,80.33,189.68,-16.49,-0.2814,7.61954,3840.39
25,-2901135.94,4029193.27,3996430.94,-290.7,80.3,190.44,-16.52,-0.30673,7.61942,3870.7
25.1,-2901165.26,4029201.3,3996450.1,-292.35,80.27,191.2,-16.56,-0.33203,7.61935,3901.14
25.2,-2901194.74,4029209.32,3996469.33,-294.01,80.23,191.96,-16.59,-0.35727,7.61934,3931.69
